transaction_id,step,customer_id,destination_account,transaction_type,country,device_type,channel,amount,fraud_score,expected_loss,priority_score,alert_severity,investigation_status,alert_reason
49833,9,C2000940145,C866356999,TRANSFER,FR,mobile,app,3411789.9,0.7812,2665290.27,2667040.27,HIGH,ESCALATED,Cross-border transaction with elevated risk
20634,8,C610880473,C386312539,TRANSFER,DE,desktop,atm,3226610.92,0.7959,2568059.63,2569809.63,HIGH,ESCALATED,Cross-border transaction with elevated risk
19858,8,C1792724213,C1060041730,TRANSFER,UK,mobile,app,2999828.31,0.85,2549854.06,2551604.06,HIGH,ESCALATED,Cross-border transaction with elevated risk
49826,9,C394488466,C575638324,TRANSFER,DE,desktop,web,2539898.07,1.0,2539898.07,2540648.07,HIGH,ESCALATED,Cross-border transaction with elevated risk
39603,9,C1189372023,C716083600,TRANSFER,FR,mobile,web,3373864.78,0.7496,2529049.04,2530799.04,HIGH,ESCALATED,Cross-border transaction with elevated risk
42036,9,C710839089,C1254274246,TRANSFER,ES,mobile,branch,3367917.95,0.7492,2523244.13,2523994.13,HIGH,ESCALATED,Cross-border transaction with elevated risk
19376,8,C463748041,C1787868648,TRANSFER,DK,mobile,app,2957475.12,0.85,2513853.85,2515603.85,HIGH,ESCALATED,Cross-border transaction with elevated risk
34717,8,C931646992,C1494727044,TRANSFER,DK,mobile,web,2921830.63,0.85,2483556.04,2485306.04,HIGH,ESCALATED,Cross-border transaction with elevated risk
47766,9,C1218418698,C747184469,TRANSFER,DE,mobile,app,2869830.35,0.85,2439355.8,2441105.8,HIGH,ESCALATED,Cross-border transaction with elevated risk
24964,8,C1076035261,C665576141,TRANSFER,IT,desktop,web,3231928.32,0.7495,2422330.28,2424080.28,HIGH,ESCALATED,Cross-border transaction with elevated risk
36837,9,C388706083,C1218231243,TRANSFER,ES,mobile,app,3167250.68,0.7557,2393491.34,2395241.34,HIGH,ESCALATED,Cross-border transaction with elevated risk
14112,8,C91129657,C257999182,TRANSFER,DE,mobile,branch,2767908.66,0.85,2352722.36,2354472.36,HIGH,ESCALATED,Cross-border transaction with elevated risk
45918,9,C1629434270,C1473187638,TRANSFER,FR,mobile,web,3191860.8,0.7327,2338676.41,2339426.41,HIGH,ESCALATED,Cross-border transaction with elevated risk
32268,8,C260055090,C2078250226,TRANSFER,DE,mobile,app,3025340.38,0.7719,2335260.24,2337010.24,HIGH,ESCALATED,Cross-border transaction with elevated risk
16628,8,C1795312610,C2094777811,TRANSFER,NL,mobile,web,2783998.4,0.825,2296798.68,2298548.68,HIGH,ESCALATED,Cross-border transaction with elevated risk
19336,8,C1041381648,C451111351,TRANSFER,ES,desktop,app,2887748.9,0.7937,2292006.3,2293756.3,HIGH,ESCALATED,Cross-border transaction with elevated risk
38205,9,C550195104,C124540047,TRANSFER,IT,desktop,branch,3076524.59,0.7428,2285242.47,2286992.47,HIGH,ESCALATED,Cross-border transaction with elevated risk
25229,8,C98476111,C1044117371,TRANSFER,FR,desktop,web,2777230.22,0.8081,2244279.74,2246029.74,HIGH,ESCALATED,Cross-border transaction with elevated risk
24122,8,C1634651393,C1446521801,TRANSFER,DE,mobile,branch,3046406.72,0.7319,2229665.08,2231415.08,HIGH,ESCALATED,Cross-border transaction with elevated risk
35741,9,C1840666007,C1745096940,TRANSFER,DK,mobile,app,3018712.42,0.7354,2219961.11,2221711.11,HIGH,ESCALATED,Cross-border transaction with elevated risk
44918,9,C1634053189,C1105527690,TRANSFER,NL,mobile,app,3025443.37,0.729,2205548.22,2207298.22,HIGH,ESCALATED,Cross-border transaction with elevated risk
37496,9,C1709368837,C54142591,TRANSFER,DK,mobile,app,2957330.91,0.7449,2202915.79,2204665.79,HIGH,ESCALATED,Cross-border transaction with elevated risk
36802,9,C76141787,C264575974,TRANSFER,NL,desktop,app,2772425.23,0.7924,2196869.75,2198619.75,HIGH,ESCALATED,Cross-border transaction with elevated risk
39009,9,C177500174,C1212974498,TRANSFER,IT,desktop,atm,3041668.97,0.717,2180876.65,2181626.65,HIGH,ESCALATED,Cross-border transaction with elevated risk
22696,8,C688872433,C465499079,TRANSFER,IT,mobile,web,2922545.82,0.7374,2155085.29,2156835.29,HIGH,ESCALATED,Cross-border transaction with elevated risk
29410,8,C1190674033,C2109470512,TRANSFER,DK,mobile,app,2931734.97,0.7317,2145150.48,2146900.48,HIGH,ESCALATED,Cross-border transaction with elevated risk
48853,9,C1319783501,C1561600039,TRANSFER,DK,mobile,app,2858417.43,0.7419,2120659.89,2121409.89,HIGH,ESCALATED,Cross-border transaction with elevated risk
40940,9,C1445614674,C1062650008,TRANSFER,NL,mobile,app,2805806.23,0.7507,2106318.74,2108068.74,HIGH,ESCALATED,Cross-border transaction with elevated risk
42662,9,C1766242826,C461001197,TRANSFER,IT,mobile,web,2910856.68,0.7219,2101347.44,2102097.44,HIGH,ESCALATED,Cross-border transaction with elevated risk
49563,9,C946243334,C302870502,TRANSFER,IT,desktop,app,2428577.21,0.85,2064290.63,2066040.63,HIGH,ESCALATED,Cross-border transaction with elevated risk
360,1,C106297322,C1590550415,TRANSFER,DE,mobile,app,2421578.09,0.85,2058341.38,2060091.38,HIGH,ESCALATED,Cross-border transaction with elevated risk
17693,8,C1341042056,C863811613,TRANSFER,IT,mobile,web,2419330.48,0.85,2056430.91,2058180.91,HIGH,ESCALATED,Cross-border transaction with elevated risk
45821,9,C1113177963,C1642686733,TRANSFER,IT,mobile,app,2856256.46,0.7189,2053362.77,2054112.77,HIGH,ESCALATED,Cross-border transaction with elevated risk
18023,8,C1904764482,C28125426,TRANSFER,NL,mobile,app,2597158.62,0.7898,2051235.88,2052985.88,HIGH,ESCALATED,Cross-border transaction with elevated risk
29228,8,C1047512213,C667346055,TRANSFER,NL,desktop,web,2871902.35,0.7124,2045943.23,2047693.23,HIGH,ESCALATED,Cross-border transaction with elevated risk
37114,9,C244764942,C1134883945,TRANSFER,ES,desktop,app,2695994.63,0.756,2038171.94,2039921.94,HIGH,ESCALATED,Cross-border transaction with elevated risk
45157,9,C293743293,C1494727044,TRANSFER,DE,mobile,branch,2859190.23,0.7046,2014585.44,2016335.44,HIGH,ESCALATED,Cross-border transaction with elevated risk
46278,9,C1989561344,C571113365,TRANSFER,DK,mobile,web,2379999.99,0.8451,2011337.99,2013087.99,HIGH,ESCALATED,Cross-border transaction with elevated risk
35777,9,C877160288,C1789550256,TRANSFER,NL,mobile,app,2739793.97,0.7303,2000871.54,2002621.54,HIGH,ESCALATED,Cross-border transaction with elevated risk
42220,9,C592584779,C382329720,TRANSFER,ES,mobile,web,2773346.18,0.7141,1980446.51,1982196.51,HIGH,ESCALATED,Cross-border transaction with elevated risk
17198,8,C1472822984,C1141137903,TRANSFER,DK,mobile,app,2325148.88,0.85,1976376.55,1978126.55,HIGH,ESCALATED,Cross-border transaction with elevated risk
10473,7,C1606705685,C1505755152,TRANSFER,FR,mobile,app,2316902.39,0.85,1969367.03,1971117.03,HIGH,ESCALATED,Cross-border transaction with elevated risk
35144,9,C1013435877,C1109959414,TRANSFER,DE,desktop,atm,2694220.17,0.7307,1968666.68,1970416.68,HIGH,ESCALATED,Cross-border transaction with elevated risk
18181,8,C226580140,C423580937,TRANSFER,UK,tablet,app,2300391.28,0.85,1955332.59,1957082.59,HIGH,ESCALATED,Cross-border transaction with elevated risk
31963,8,C1554480282,C1929496638,TRANSFER,FR,desktop,app,2716664.51,0.7178,1950021.79,1951771.79,HIGH,ESCALATED,Cross-border transaction with elevated risk
23119,8,C751996498,C1721246982,TRANSFER,NL,mobile,web,2284539.84,0.85,1941858.86,1943608.86,HIGH,ESCALATED,Cross-border transaction with elevated risk
11313,7,C876744147,C1360767589,TRANSFER,DK,desktop,app,2283519.94,0.85,1940991.95,1942741.95,HIGH,ESCALATED,Cross-border transaction with elevated risk
25186,8,C326898623,C801142660,TRANSFER,DK,mobile,app,2700496.21,0.7176,1937876.08,1939626.08,HIGH,ESCALATED,Cross-border transaction with elevated risk
33849,8,C202954300,C1743996658,TRANSFER,DE,mobile,atm,2434407.95,0.7959,1937545.29,1939295.29,HIGH,ESCALATED,Cross-border transaction with elevated risk
20519,8,C2129589764,C2083562754,TRANSFER,ES,mobile,app,2701250.65,0.7152,1931934.46,1933684.46,HIGH,ESCALATED,Cross-border transaction with elevated risk
24129,8,C1829276276,C985934102,TRANSFER,DK,mobile,web,2713839.59,0.7106,1928454.41,1930204.41,HIGH,ESCALATED,Cross-border transaction with elevated risk
11378,7,C1054204284,C1515704208,TRANSFER,DK,mobile,app,2271227.47,0.8448,1918732.97,1920482.97,HIGH,ESCALATED,Cross-border transaction with elevated risk
36568,9,C2142614220,C1226372269,TRANSFER,IT,desktop,branch,2695789.29,0.711,1916706.19,1918456.19,HIGH,ESCALATED,Cross-border transaction with elevated risk
32269,8,C507824306,C836903727,TRANSFER,DE,mobile,app,2552535.38,0.7491,1912104.25,1913854.25,HIGH,ESCALATED,Cross-border transaction with elevated risk
11339,7,C743078109,C257999182,TRANSFER,UK,mobile,atm,2245813.81,0.85,1908941.74,1910691.74,HIGH,ESCALATED,Cross-border transaction with elevated risk
47327,9,C1158972662,C1975918135,TRANSFER,ES,mobile,web,2383285.01,0.7914,1886131.76,1887881.76,HIGH,ESCALATED,Cross-border transaction with elevated risk
13024,7,C1234540159,C1787868648,TRANSFER,NL,mobile,app,2206784.53,0.85,1875766.85,1877516.85,HIGH,ESCALATED,Cross-border transaction with elevated risk
37592,9,C132215769,C28588268,TRANSFER,DE,mobile,web,2619264.99,0.7129,1867274.01,1869024.01,HIGH,ESCALATED,Cross-border transaction with elevated risk
14459,8,C1871949388,C885951223,TRANSFER,NL,mobile,app,2195051.02,0.85,1865793.37,1867543.37,HIGH,ESCALATED,Cross-border transaction with elevated risk
19334,8,C1792322110,C1360767589,TRANSFER,IT,tablet,app,2256694.97,0.8165,1842591.44,1844341.44,HIGH,ESCALATED,Cross-border transaction with elevated risk
49335,9,C1724191128,C955610633,TRANSFER,DE,mobile,app,2165308.31,0.85,1840512.06,1842262.06,HIGH,ESCALATED,Cross-border transaction with elevated risk
11403,7,C1147487483,C991363637,TRANSFER,IT,desktop,web,2552176.18,0.7193,1835780.33,1837530.33,HIGH,ESCALATED,Cross-border transaction with elevated risk
17943,8,C1821775051,C2011996123,TRANSFER,DE,mobile,app,2158290.89,0.85,1834547.26,1836297.26,HIGH,ESCALATED,Cross-border transaction with elevated risk
42894,9,C1141260246,C1738132973,TRANSFER,DK,tablet,app,2607326.07,0.7037,1834775.36,1835525.36,HIGH,ESCALATED,Cross-border transaction with elevated risk
20764,8,C240810438,C2009378486,TRANSFER,FR,mobile,web,2573238.46,0.7104,1828028.6,1829778.6,HIGH,ESCALATED,Cross-border transaction with elevated risk
14773,8,C1312556204,C769342184,TRANSFER,DK,mobile,app,2304548.56,0.792,1825202.46,1826952.46,HIGH,ESCALATED,Cross-border transaction with elevated risk
19177,8,C1240259528,C58333888,TRANSFER,DK,mobile,branch,2288736.8,0.7939,1817028.15,1818778.15,HIGH,ESCALATED,Cross-border transaction with elevated risk
22695,8,C1438400820,C1505755152,TRANSFER,NL,desktop,web,2503436.11,0.7252,1815491.87,1817241.87,HIGH,ESCALATED,Cross-border transaction with elevated risk
44418,9,C1987420447,C1804883318,TRANSFER,DE,tablet,app,2542189.14,0.7114,1808513.35,1810263.35,HIGH,ESCALATED,Cross-border transaction with elevated risk
2588,1,C1864007931,C667346055,TRANSFER,NL,tablet,web,2441078.3,0.7383,1802248.11,1803998.11,HIGH,ESCALATED,Cross-border transaction with elevated risk
17988,8,C1539639691,C1790202239,TRANSFER,UK,mobile,app,2420979.43,0.744,1801208.7,1802958.7,HIGH,ESCALATED,Cross-border transaction with elevated risk
14453,8,C534088451,C1883840933,TRANSFER,DK,desktop,app,2107356.28,0.85,1791252.84,1793002.84,HIGH,ESCALATED,Cross-border transaction with elevated risk
28892,8,C1198838728,C54142591,TRANSFER,NL,desktop,app,2553307.07,0.7011,1790123.59,1791873.59,HIGH,ESCALATED,Cross-border transaction with elevated risk
34215,8,C1928188796,C842729010,TRANSFER,NL,desktop,atm,2407437.39,0.7423,1787040.77,1788790.77,HIGH,ESCALATED,Cross-border transaction with elevated risk
35526,9,C865340901,C1359484306,TRANSFER,NL,mobile,web,2305997.57,0.7743,1785533.92,1787283.92,HIGH,ESCALATED,Cross-border transaction with elevated risk
34293,8,C1664468993,C749013731,TRANSFER,FR,desktop,app,2554999.36,0.6949,1775469.06,1777219.06,HIGH,ESCALATED,Cross-border transaction with elevated risk
34758,8,C1551613706,C1566789241,TRANSFER,UK,mobile,branch,2293034.65,0.774,1774808.82,1776558.82,HIGH,ESCALATED,Cross-border transaction with elevated risk
43456,9,C729792425,C683605346,TRANSFER,FR,mobile,app,2546073.24,0.6965,1773340.01,1775090.01,HIGH,ESCALATED,Cross-border transaction with elevated risk
